[ 2017-04-01T09:27:52+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:27:52+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2017-04-01T09:27:52+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2017-04-01T09:27:52+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:27:52+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.007001s ]
[ 2017-04-01T09:27:52+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:27:52+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 8 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:28:20+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:28:20+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:28:20+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:28:20+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:28:20+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.005000s ]
[ 2017-04-01T09:28:20+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:28:20+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:30:50+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:30:50+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:30:50+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:30:50+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:30:50+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.003000s ]
[ 2017-04-01T09:30:50+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:30:50+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.001001s ]
[ 2017-04-01T09:31:44+08:00 ] /index/test/id/1.localhost | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:32:04+08:00 ] /index/test/id/1.localhost | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:32:08+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:32:08+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-04-01T09:32:08+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-04-01T09:32:08+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:32:08+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.003001s ]
[ 2017-04-01T09:32:08+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:32:08+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:32:20+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:32:20+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:32:20+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:32:20+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:32:20+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.004001s ]
[ 2017-04-01T09:32:20+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:32:20+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:32:31+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:32:31+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2017-04-01T09:32:31+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2017-04-01T09:32:31+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:32:31+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.003000s ]
[ 2017-04-01T09:32:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:32:31+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:33:18+08:00 ] /index/test/id/1.localhost | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:33:23+08:00 ] /index/test/id/1 | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:33:30+08:00 ] /index/test/id/1 | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:33:41+08:00 ] /index/index | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:33:51+08:00 ] /index/index | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:33:54+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:33:54+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:33:54+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:33:54+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:33:54+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.003000s ]
[ 2017-04-01T09:33:54+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:33:54+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 10 ) LIMIT 1   [ RunTime:0.001001s ]
[ 2017-04-01T09:34:02+08:00 ] /index/index | ERR: (ThinkException) 无法加载模块index
[ 2017-04-01T09:34:08+08:00 ] / | INFO: Tag[ app_begin ] --START--
